high,relvolume,price,low,open,symbol,percentchange,watchers,hourchange,sentiment
89.53,1.4544,89.31,88.555,88.7,SONY,1.6388,2082,0,0.0
9.0,0.5721,8.83,8.0748,8.08,CVNA,12.1982,23362,-4,-5.02
274.99,0.6652,273.83,271.02,272.29,NVDA,1.4787,420570,-1,2.26
5.16,0.5325,4.97,4.865,5.11,AMC,-0.6,412470,-4,0.78
162.47,0.5827,162.36,161.271,161.53,AAPL,0.989,876771,4,3.65
284.46,0.6427,284.05,281.5,284.23,MSFT,1.262,442600,1,-0.15
130.12,0.7826,128.75,127.65,129.95,JPM,-0.302,82474,0,1.08
214.19,0.6629,205.27,203.96,209.435,ENPH,0.6472,37321,1,-2.13
208.09,0.6432,207.84,202.85,203.38,META,1.2126,512301,3,6.06
101.155,0.6807,100.89,99.78,100.91,GOOGL,-0.4931,159890,2,2.97
32.58,1.4198,32.09,31.81,31.85,INTC,1.8084,131054,0,4.5
5.93,0.6344,5.72,5.62,5.87,SOFI,-0.5217,91769,0,-1.14
99.53,0.8812,97.88,97.25,98.0,AMD,1.8628,456364,1,-3.07
103.04,0.6777,102.0,101.01,101.55,AMZN,1.7456,587425,0,3.58
462.92,0.3938,460.98,458.5,460.46,NOC,-0.1278,8023,0,0.0
131.48,0.5487,129.22,129.1,130.16,IBM,-0.3778,51343,0,8.38
197.328,0.6092,195.28,194.42,195.58,TSLA,0.7221,889751,7,4.19
120.05,0.5217,119.1,118.85,120.0,EA,-0.0755,20710,0,5.56
